id,income,income-group,wtp,parking-offender?,distance-parking-target,price-paid,search-time,wants-to-park,die?,reinitialize?,utility-value,mean-utility,informed-flag,agent-strategy-flag,wait-time,park-time,switch-strategy-flag
895,14060.252111836813,0,2.4946802312466656,false,-99,-99,197,false,true,true,0.07767968976359213,-0.35548186740539983,0,6,0,7910.754571346071,0
978,29999.334335328225,1,5.525193139184904,false,-99,-99,199,false,true,true,-0.7100986825159943,-0.35691670814936777,2,1,0,2567.4628928034567,0
1270,27630.63791160781,1,4.696235152652245,false,-99,-99,74,false,true,true,-0.5460492227475965,-0.35691670814936777,1,1,0,8872.875048594884,0
899,44961.50466316233,1,3.755490019105388,false,-99,-99,203,false,true,true,-0.17798133063906107,-0.3512817266452626,0,6,0,15112.686544081655,0
1242,46250.877548790304,1,4.577124594523213,false,-99,-99,101,false,true,true,-0.10978480908402916,-0.3512817266452626,0,6,0,1487.831870730937,0
1071,30777.082933338457,1,2.6604157218235014,false,-99,-99,204,false,true,true,-0.1570843503659367,-0.3553628534403647,2,1,0,4022.3226109729867,0
1315,31771.588392600384,1,5.002253665992101,false,-99,-99,1,false,true,true,-0.349733863634511,-0.3549365445378896,1,1,0,8770.972841482848,0
900,31979.1624761482,1,4.630054197976894,false,-99,-99,205,false,true,true,-0.05779714427297819,-0.3549365445378896,1,2,0,4642.157099096521,0
1286,20747.57308754734,1,3.1729614478318475,false,-99,-99,58,false,true,true,-0.23690847668982684,-0.35461206975485776,0,6,0,6230.502775368582,0
1273,56918.43372848597,2,10.218655839613385,true,-99,-99,79,false,true,true,-0.6823919971370173,-0.35461206975485776,2,1,0,15820.332760785264,0
1305,69875.77199972801,2,13.010086433333,false,-99,-99,18,false,true,true,-0.5128279673672902,-0.35461206975485776,2,3,0,1903.3164173821033,0
932,16935.89457690435,0,2.173282981091427,true,-99,-99,207,false,true,true,-0.3455901068418878,-0.35553552345756234,2,1,0,7842.5032098466645,0
1285,27590.753223826185,1,4.635082776031444,false,-99,-99,66,false,true,true,-0.6410878579331698,-0.3548257711087351,1,3,0,3159.4680200027583,0
982,25543.11546307355,1,4.997661225994112,false,-99,-99,211,false,true,true,-0.39815286441815567,-0.35239991884069466,0,6,0,5965.964405196342,0
1182,22892.856370106885,1,4.114803028040533,false,-99,-99,211,false,true,true,-0.37189931198919884,-0.35239991884069466,1,3,0,6632.9380422172235,0
1296,20997.099480913384,1,4.166783099000343,false,-99,-99,38,false,true,true,-0.38076464953753975,-0.35239991884069466,2,4,0,2106.1485482713115,0
1318,33199.954582402745,1,4.160886185651621,true,-99,-99,8,false,true,true,-0.5683384043359432,-0.35100442154504247,2,1,0,5629.262239274624,0
1229,34481.55315453826,1,4.209508018506042,false,-99,-99,133,false,true,true,-0.26817605402233224,-0.3503525133080765,2,5,0,3480.137273033177,0
894,17710.027322315575,1,3.431296829318549,false,-99,-99,217,false,true,true,-0.22044425175797577,-0.3494819660901823,1,1,0,8055.7865736433705,0
1303,11864.82026496169,0,1.3229110172336829,false,-99,-99,29,false,true,true,-0.10781970174449731,-0.3494819660901823,0,7,0,4017.770912704537,0
1309,37187.445974231356,1,5.026888362186394,true,-99,-99,24,false,true,true,-0.4745080621979031,-0.3453969180125132,2,3,0,2274.33040272706,0
1277,19983.245256153394,1,4.5968559782775325,true,-99,-99,91,false,true,true,-0.17970190935744162,-0.344675219499674,1,5,0,11302.380679884576,0
1127,19583.843259869966,1,4.195347671086257,true,-99,-99,223,false,true,true,-0.2527173251249263,-0.344675219499674,1,1,0,5152.665976973643,0
1292,40175.48076925014,1,4.1437325381189565,true,-99,-99,55,false,true,true,-0.3090677535168409,-0.345088291992436,2,2,0,9615.765873856944,0
897,16820.57299781053,0,3.500582553512981,false,-99,-99,226,false,true,true,-0.034855011091426996,-0.34508310231359646,1,4,0,3090.2828298933423,0
962,11873.480215097632,0,2.989983093349769,false,-99,-99,227,false,true,true,-0.6071866061388648,-0.34696031197779015,1,3,0,2894.325516818263,0
1311,14220.942691152904,0,2.888628149632373,false,-99,-99,29,false,true,true,-0.16727537433411355,-0.34696031197779015,2,1,0,842.0179561066905,0
1333,25891.051712642802,1,5.771509527678634,false,-99,-99,6,false,true,true,-0.1623904047739774,-0.34529139217952265,0,6,0,7908.456708529087,0
1231,10229.825301414014,0,2.1438550016942224,false,-99,-99,150,false,true,true,-0.3415866574882665,-0.3465173476027184,2,4,0,4293.052809818219,0
1251,23765.752709156593,1,3.543482211706949,false,-99,-99,126,false,true,true,-1.4309708857152372,-0.34574929039731117,2,4,0,948.7137961660725,0
1249,23756.227601339437,1,7.6596776362278645,false,-99,-99,128,false,true,true,-0.3444465140096321,-0.3412339002923824,1,1,0,6545.825411368184,0
1312,32019.20017866088,1,3.5114018308632406,false,-99,-99,38,false,true,true,-0.26617113469956677,-0.34049694439610706,1,3,0,5647.99839113212,0
1072,27901.113867872955,1,5.483234482495961,false,-99,-99,241,false,true,true,-0.28502034730487746,-0.340521510021878,1,2,0,6629.818124243161,0
898,44297.20926262486,1,4.430236850737395,false,-99,-99,242,false,true,true,-0.29845697966315354,-0.3422916327995081,0,7,0,5095.069096191177,0
1257,31380.101004558648,1,3.168275407124757,true,-99,-99,127,false,true,true,-0.31458990933928765,-0.3422916327995081,0,6,0,9006.86022464167,0
1028,21365.76913393657,1,3.7542042560884004,false,-99,-99,245,false,true,true,-0.33831344499533167,-0.3429090690018482,2,1,0,11641.433160889093,0
1111,9248.897776354977,0,1.9659653632200191,false,-99,-99,245,false,true,true,-0.20855029717956747,-0.3429090690018482,1,3,0,4071.995485709051,0
1314,28083.42704460517,1,4.839893715812688,true,-99,-99,43,false,true,true,-0.2721245232143852,-0.3441231383862814,2,4,0,3983.958902687255,0
1335,16839.59194903144,0,1.4445026358151183,false,-99,-99,21,false,true,true,-0.44013482455405306,-0.3439342180932789,1,1,0,11790.723115524224,0
1260,25907.88018246417,1,3.5421726775955076,false,-99,-99,129,false,true,true,-0.2575248704630078,-0.3439342180932789,1,3,0,1492.811455099645,0
1097,20647.31436977759,1,3.3982223902741246,true,-99,-99,253,false,true,true,-0.250189674569917,-0.3442898326377258,2,5,0,7415.193734054818,0
995,22964.836092662517,1,4.9854327126142,false,-99,-99,253,false,true,true,-0.2806951752328449,-0.3442898326377258,1,1,0,10146.735753317304,0
1310,19765.49831586666,1,3.5733677637875894,false,-99,-99,57,false,true,true,-0.9945624823755238,-0.3449553724821909,1,4,0,6084.178059889793,0
1264,20313.819491826387,1,3.374379596322253,false,-99,-99,134,false,true,true,-0.36114520027136976,-0.342666137419651,0,6,0,710.9934189810176,0
1345,22724.365949785748,1,4.712257582544186,false,-99,-99,13,false,true,true,-0.41948980249549533,-0.34257760878867344,0,6,0,1039.8340600667013,0
1346,33989.94118383053,1,4.297321940794524,false,-99,-99,10,false,true,true,-0.7099406082167024,-0.34257760878867344,2,1,0,11151.285649715075,0
1276,9440.560695904922,0,1.6551474203704903,false,-99,-99,126,false,true,true,-0.3995590155298611,-0.34161112348129413,0,6,0,5521.209722358668,0
1350,34118.011233704514,1,3.940405134369606,true,-99,-99,10,false,true,true,-0.14819305232070432,-0.34133726853920054,0,6,0,6726.688300296899,0
